"user_id","account_start_date","birth_year","gender","marital_status","individual_income_segment_code","family_income_segment_code","account_age","label"
"10000000001","1990-04-03",1963,1,1,11,7,2,0
"10000000008","1979-02-19",1965,1,3,5,3,3,0
"10000000010","1985-05-21",1966,1,1,8,7,3,0
"10000000012","1982-12-03",1956,1,1,3,1,3,0
"10000000034","1971-12-24",1954,1,2,5,2,4,0
"10000000076","1972-05-16",1973,0,1,11,2,4,0
"10000000111","1979-01-19",1963,0,3,4,2,3,0
"10000000006","1977-08-15",1950,0,-1,2,3,4,0
"10000000030","1974-10-21",1958,0,-1,13,6,4,0
"10000000117","1984-05-10",1967,0,3,1,6,3,0
"10000000147","1976-02-20",1976,1,1,11,4,4,0
"10000000156","1989-12-20",1957,0,1,2,1,2,0
"10000000159","1979-10-06",1950,0,1,14,4,3,0
"10000000177","1985-08-22",1975,0,2,5,1,3,0
"10000000186","1976-01-27",1942,0,2,7,6,4,0
"10000000193","1975-04-02",1977,1,1,2,2,4,0
"10000000196","1978-03-24",1974,1,3,15,4,4,0
"10000000197","1992-08-05",1943,1,1,3,4,2,0
"10000000204","1983-01-01",1978,1,3,2,7,3,0
"10000000230","1972-05-16",1961,1,1,14,4,4,0
"10000000248","1986-11-24",1969,0,1,1,3,3,0
"10000000281","1979-11-10",1961,1,3,13,3,3,0
"10000000317","1977-02-17",1964,0,1,8,6,4,0
"10000000241","1981-05-27",1964,0,3,2,-1,3,1
"10000000344","1990-02-16",1977,0,1,2,3,2,0
"10000000353","1982-07-20",1961,1,3,13,2,3,0
"10000000368","1972-12-26",1974,1,2,10,3,4,0
"10000000381","1976-05-16",1954,1,3,5,2,4,0
"10000000383","1990-04-23",1957,1,3,10,1,2,0
"10000000385","1965-01-26",1969,0,1,7,4,5,0
"10000000392","1976-02-10",1956,0,3,2,5,4,0
"10000000401","1982-05-12",1953,1,2,2,7,3,0
"10000000402","1970-04-28",1962,1,1,12,7,4,0
"10000000422","1981-05-18",1981,1,1,3,2,3,0
"10000000454","1976-05-07",1959,1,3,15,6,4,0
"10000000481","1986-12-01",1950,1,2,6,5,3,0
"10000000501","1987-01-18",1959,0,1,4,4,3,0
"10000000516","1980-10-22",1966,1,3,12,2,3,0
"10000000519","1977-10-03",1965,1,3,15,4,4,0
"10000000521","1986-10-12",1957,1,3,9,6,3,0
"10000000542","1976-02-18",1942,0,1,5,4,4,0
"10000000551","1980-02-24",1952,1,1,6,1,3,0
"10000000554","1982-01-15",1945,0,1,10,4,3,0
"10000000568","1997-06-05",1961,0,1,12,5,2,0
"10000000597","1980-06-21",1953,0,3,4,3,3,0
"10000000625","1978-03-26",1984,1,2,2,1,4,0
"10000000629","1974-11-10",1948,0,3,3,2,4,0
"10000000630","1978-03-07",1960,0,1,2,3,4,0
"10000000639","1979-11-15",1954,0,2,3,4,3,0
"10000000644","1982-09-27",1962,1,1,9,3,3,0
"10000000659","1981-12-15",1957,0,1,11,3,3,0
"10000000591","1972-10-08",1957,1,-1,9,6,4,0
"10000000676","1976-08-03",1953,0,3,11,3,4,0
"10000000682","1985-10-22",1963,0,1,8,2,3,0
"10000000691","1973-07-17",1969,0,2,1,2,4,0
"10000000712","1979-06-05",1959,1,2,15,5,3,0
"10000000724","1982-09-29",1964,1,1,10,3,3,1
"10000000730","1973-04-22",1959,0,2,2,3,4,1
"10000000736","1987-05-17",1959,0,3,13,7,3,0
"10000000740","1971-12-05",1960,1,3,5,2,4,0
"10000000755","1978-10-29",1970,1,2,8,6,3,0
"10000000759","1973-11-24",1969,0,2,10,7,4,0
"10000000764","1983-10-23",1972,1,2,12,3,3,0
"10000000774","1986-08-25",1967,0,2,5,1,3,0
"10000000702","1978-05-01",1975,0,3,4,-1,4,0
"10000000782","1976-06-20",1949,1,2,2,1,4,0
"10000000790","1982-10-28",1974,1,3,11,1,3,0
"10000000791","1990-07-30",1972,1,3,10,3,2,0
"10000000794","1975-03-22",1941,0,3,10,6,4,0
"10000000806","1983-02-09",1958,1,1,5,6,3,0
"10000000813","1980-09-21",1953,0,1,10,5,3,0
"10000000833","1981-04-16",1976,0,1,7,6,3,1
"10000000840","1982-08-03",1971,0,2,11,1,3,0
"10000000841","1981-03-12",1955,0,3,12,3,3,0
"10000000843","1969-05-26",1960,1,1,13,5,4,0
"10000000795","1981-11-16",1987,1,-1,1,7,3,0
"10000000811","1992-04-08",1946,0,-1,10,1,2,0
"10000000830","1987-03-23",1973,0,-1,9,5,3,0
"10000000903","1979-08-27",1963,0,2,12,4,3,0
"10000000957","1982-04-26",1967,0,1,6,1,3,0
"10000000973","1975-12-26",1985,1,2,13,6,4,0
"10000000935","1985-03-29",1958,1,1,6,-1,3,0
"10000000906","1979-07-10",1949,1,-1,11,3,3,0
"10000000965","1982-03-31",1979,1,-1,8,4,3,0
"10000001013","1975-06-25",1946,0,2,8,6,4,0
"10000001033","1985-01-14",1964,1,2,1,7,3,0
"10000001034","1989-05-25",1965,0,3,6,3,2,0
"10000001061","1986-04-10",1963,1,1,6,1,3,0
"10000001070","1987-04-11",1963,0,1,14,2,3,0
"10000001086","1988-05-24",1963,1,3,14,6,3,0
"10000001100","1970-08-31",1965,1,1,8,2,4,0
"10000001104","1989-07-28",1955,1,3,13,2,2,0
"10000001011","1982-05-07",1957,1,1,6,-1,3,0
"10000001009","1970-02-05",1950,0,-1,14,6,4,0
"10000001123","1983-07-25",1967,0,1,13,6,3,0
"10000001141","1965-12-25",1973,0,2,5,6,5,0
"10000001145","1971-04-24",1974,1,1,14,4,4,0
"10000001164","1987-06-08",1963,0,1,2,6,3,0
"10000001188","1970-08-31",1959,1,2,2,6,4,0
"10000001197","1977-04-16",1970,0,2,4,7,4,0
"10000001215","1978-04-26",1968,1,2,1,5,4,0
"10000001217","1989-04-09",1962,1,1,15,5,2,0
"10000001241","1987-06-07",1966,1,2,4,7,3,0
"10000001255","1981-05-23",1954,0,2,13,7,3,0
"10000001258","1986-08-15",1970,0,2,3,4,3,0
"10000001268","1989-05-17",1962,1,2,4,7,2,0
"10000001272","1985-04-03",1968,0,1,5,5,3,0
"10000001289","1972-10-22",1957,0,2,4,3,4,0
"10000001293","1981-11-25",1947,0,1,7,1,3,0
"10000001304","1979-01-03",1970,1,2,2,1,3,0
"10000001306","1989-06-24",1961,0,1,15,1,2,0
"10000001315","1987-10-13",1953,1,1,4,2,3,0
"10000001327","1971-07-15",1949,0,1,5,7,4,1
"10000001239","1986-02-22",1947,0,3,12,-1,3,0
"10000001328","1983-06-21",1943,0,1,3,5,3,0
"10000001336","1972-04-19",1961,0,3,4,1,4,0
"10000001383","1989-10-04",1951,1,3,8,5,2,0
"10000001396","1971-06-27",1946,0,1,5,1,4,0
"10000001398","1980-11-10",1965,0,2,1,2,3,0
"10000001415","1980-01-18",1976,0,3,10,4,3,0
"10000001422","1983-10-19",1971,1,2,11,4,3,1
"10000001438","1983-10-18",1977,0,2,2,5,3,0
"10000001444","1977-07-23",1955,1,2,6,1,4,0
"10000001458","1980-12-13",1977,1,2,4,1,3,1
"10000001463","1979-05-28",1973,1,1,10,1,3,0
"10000001493","1980-03-16",1966,1,1,8,1,3,1
"10000001498","1978-02-16",1961,0,1,5,6,4,0
"10000001509","1992-12-20",1963,0,1,13,3,2,0
"10000001540","1969-06-23",1958,0,1,1,7,4,0
"10000001547","1989-04-26",1970,0,2,13,3,2,0
"10000001467","1990-05-03",1954,1,-1,7,1,2,0
"10000001563","1974-01-27",1945,0,3,15,3,4,0
"10000001570","1974-11-05",1970,0,1,14,1,4,0
"10000001572","1985-07-16",1953,0,2,1,1,3,0
"10000001578","1977-10-05",1965,1,1,1,7,4,0
"10000001591","1979-11-11",1964,1,2,7,1,3,0
"10000001616","1985-11-27",1955,1,1,1,2,3,0
