"user_id","account_start_date","birth_year","gender","marital_status","individual_income_segment_code","family_income_segment_code","account_age","amount_a_before","amount_b_before","amount_a_after","amount_b_after","amount_of_a_and_b","amount_ads_before","amount_ads_after","month_5","month_6","month_7","d_cat1","d_cat2","d_cat3","d_cat4","d_cat5","d_cat6","d_cat7","d_cat8","d_cat9","d_cat10","d_cat11","d_cat12","d_cat13","d_cat14","d_cat15","d_cat16","c_cat1","c_cat2","c_cat3","c_cat4","c_cat5","c_cat6","c_cat7","c_cat8","c_cat9","c_cat10","c_cat11","c_cat12","c_cat13","c_cat14","c_cat15","c_cat16","screen_1_before","screen_2_before","screen_1_after","screen_2_after","label"
"10000000001","1990-04-03",1963,1,1,11,7,2,0,0,0,0,0,0,0,27,50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0
"10000000004","1979-09-14",1972,0,1,-1,1,3,0,0,0,0,0,0,0,7,523,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,11,0,0,0
"10000000006","1977-08-15",1950,0,-1,2,3,4,0,0,0,0,0,0,0,123,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,1,0,0,0
"10000000008","1979-02-19",1965,1,3,5,3,3,0,0,0,0,0,0,0,33,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,5,10,5,4,0
"10000000010","1985-05-21",1966,1,1,8,7,3,0,0,0,0,0,0,0,26,11,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0
"10000000012","1982-12-03",1956,1,1,3,1,3,1,0,0,0,1,0,0,86,158,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,21,0,0,0
"10000000030","1974-10-21",1958,0,-1,13,6,4,0,0,0,0,0,0,0,5,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,16,0,0,0,0
"10000000034","1971-12-24",1954,1,2,5,2,4,0,0,0,0,0,0,0,30,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,0,0,0
"10000000050","1972-11-23",1966,1,1,-1,5,4,0,0,0,0,0,0,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,24,0,0,0,0
"10000000076","1972-05-16",1973,0,1,11,2,4,0,0,0,0,0,1,0,9,8,48,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,19,5,0,0
"10000000077","1987-11-12",1945,0,3,-1,-1,3,0,0,0,0,0,1,0,7,43,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,1,1,3,0,0,0,0
"10000000098","1978-04-03",1971,0,1,-1,1,4,0,0,0,0,0,0,0,15,106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,37,3,0,0,0
"10000000111","1979-01-19",1963,0,3,4,2,3,0,0,0,0,0,1,0,17,37,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0
"10000000116","1989-01-06",1954,1,1,-1,1,2,0,0,0,0,0,0,0,68,8,44,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,10,12,0,0,0
"10000000117","1984-05-10",1967,0,3,1,6,3,0,0,0,0,0,0,0,20,40,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"10000000147","1976-02-20",1976,1,1,11,4,4,0,0,0,0,0,0,0,31,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0
"10000000156","1989-12-20",1957,0,1,2,1,2,0,0,0,0,0,0,0,7,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4,0,0,0,0
"10000000159","1979-10-06",1950,0,1,14,4,3,0,0,0,0,0,0,0,7,15,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,6,0,0,0
"10000000161","1971-07-04",1969,1,-1,3,7,4,1,0,0,0,1,0,0,6,3,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
"10000000177","1985-08-22",1975,0,2,5,1,3,0,0,0,0,0,0,0,45,6,70,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,11,0,0,0
"10000000184","1984-01-11",1960,0,1,-1,5,3,0,0,0,0,0,0,0,4,46,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,7,11,0,0
"10000000185","1979-07-30",1971,0,1,-1,5,3,0,0,0,0,0,0,0,115,40,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0
"10000000186","1976-01-27",1942,0,2,7,6,4,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"10000000193","1975-04-02",1977,1,1,2,2,4,0,0,0,0,0,0,0,19,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,2,0,1,1,0,0,0,0,0,14,0,0,0
"10000000196","1978-03-24",1974,1,3,15,4,4,0,0,0,0,0,0,0,43,321,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"10000000197","1992-08-05",1943,1,1,3,4,2,0,0,0,0,0,1,0,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"10000000204","1983-01-01",1978,1,3,2,7,3,0,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"10000000230","1972-05-16",1961,1,1,14,4,4,0,0,0,0,0,0,0,3,5,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,1,0,6,0,0,0
"10000000241","1981-05-27",1964,0,3,2,-1,3,0,0,0,0,0,0,0,58,5,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,23,0,0,0,1
"10000000248","1986-11-24",1969,0,1,1,3,3,0,0,0,0,0,0,0,7,144,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,7,0,0,0,0
"10000000281","1979-11-10",1961,1,3,13,3,3,0,0,0,0,0,0,0,36,3,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"10000000308","1977-01-28",1961,0,-1,4,7,4,0,0,0,0,0,0,0,193,19,939,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,10,8,0,0,0
"10000000312","1984-11-24",1959,1,-1,8,2,3,0,0,0,0,0,0,0,19,6,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
"10000000316","1991-01-13",1977,0,1,6,-1,2,0,0,0,0,0,0,0,7,6,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,8,0,0,0,0
"10000000317","1977-02-17",1964,0,1,8,6,4,0,0,0,0,0,0,0,11,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0
"10000000321","1988-02-09",1953,1,3,-1,2,3,0,0,0,0,0,0,0,201,207,38,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0
"10000000344","1990-02-16",1977,0,1,2,3,2,0,0,0,0,0,0,0,51,77,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,16,0,0,0
"10000000353","1982-07-20",1961,1,3,13,2,3,0,0,0,0,0,0,0,25,19,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0
"10000000368","1972-12-26",1974,1,2,10,3,4,0,0,0,0,0,0,0,17,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,4,0,0,0,0
"10000000381","1976-05-16",1954,1,3,5,2,4,0,0,0,0,0,0,0,8,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
"10000000383","1990-04-23",1957,1,3,10,1,2,0,0,0,0,0,0,0,8,22,52,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
