user_id,account_start_date,birth_year,gender,marital_status,individual_income_segment_code,family_income_segment_code
10000000000,1976-05-05,1940,0, ,07,05
10000000001,1990-04-03,1963,1,1,11,07
10000000002,1976-10-25,1954,0,1,02,03
10000000003,1984-01-29,1972,1,1,09,01
10000000004,1979-09-14,1972,0,1,  ,01
10000000005,1976-07-20,1963,1,3,15,02
10000000006,1977-08-15,1950,0, ,02,03
10000000007,1986-04-30,1963,0, ,  ,05
10000000008,1979-02-19,1965,1,3,05,03
10000000009,1975-07-13,1974,1, ,14,07
10000000010,1985-05-21,1966,1,1,08,07
10000000011,1978-03-16,1960,0,1,  ,01
10000000012,1982-12-03,1956,1,1,03,01
10000000013,1989-03-04,1970,1, ,13,05
10000000014,1986-03-21,1963,0,3,06,06
10000000015,1980-05-30,1947,0,2,14,06
10000000016,1981-12-22,1958,1,3,02,03
10000000017,1967-05-11,1954,1,3,05,01
10000000018,1968-05-26,1950,1, ,  ,07
10000000019,1967-05-17,1950,0,2,12,04
10000000020,1975-06-05,1957,0,2,14,06
10000000021,1994-06-02,1951,1,2,01,07
10000000022,1979-05-09,1973,1, ,  ,01
10000000023,1976-01-25,1946,0,2,04,04
10000000024,1984-03-28,1971,0,2,11,03
10000000025,1985-11-28,1947,1, ,08,  
10000000026,1980-06-20,1958,1,3,07,03
10000000027,1987-05-31,1950,0,1,01,03
10000000028,1979-03-25,1955,0,1,11,  
10000000029,1992-07-01,1964,0,2,10,05
10000000030,1974-10-21,1958,0, ,13,06
10000000031,1971-05-20,1968,1,1,04,06
10000000032,1984-03-04,1967,1, ,11,  
10000000033,1990-01-23,1958,0,3,04,05
10000000034,1971-12-24,1954,1,2,05,02
10000000035,1982-03-20,1954,0,1,06,02
10000000036,1991-02-25,1974,1,2,11,01
10000000037,1984-12-14,1943,1,3,07,04
10000000038,1976-05-20,1955,0,1,14,05
10000000039,1985-03-20,1958,1,3,04,06
10000000040,1993-06-26,1952,1,2,02,03
10000000041,1969-06-21,1952,0, ,09,  
10000000042,1986-12-29,1961,0,3,11,  
10000000043,1981-03-05,1969,0,1,03,  
10000000044,1982-03-11,1966,0,2,13,07
10000000045,1988-01-30,1961,1,1,05,  
10000000046,1984-12-26,1963,1,1,05,06
10000000047,1980-01-07,1958,0,1,06,07
10000000048,1984-08-13,1946,1,2,  ,  
10000000049,1979-01-26,1969,1, ,02,01
10000000050,1972-11-23,1966,1,1,  ,05
10000000051,1981-04-27,1980,0, ,09,  
10000000052,1976-05-19,1967,0,2,10,01
10000000053,1989-01-24,1964,1,1,04,02
10000000054,1969-05-30,1950,0,3,06,04
10000000055,1984-12-16,1938,1,2,12,  
10000000056,1988-02-11,1967,0,1,04,  
10000000057,1977-10-26,1938,1,3,14,  
10000000058,1983-10-09,1957,1,1,01,03
10000000059,1991-03-29,1975,0, ,06,04
10000000060,1978-02-15,1966,0,2,10,01
10000000061,1982-05-29,1942,1,1,12,01
10000000062,1981-11-30,1961,0, ,06,  
10000000063,1981-06-11,1961,0,1,09,05
10000000064,1975-12-19,1972,0,2,06,06
10000000065,1970-09-19,1965,0,2,11,02
10000000066,1991-09-04,1975,0,1,  ,02
10000000067,1978-09-17,1964,0,3,04,01
10000000068,1977-08-11,1963,0,1,09,04
10000000069,1982-03-26,1975,1,2,09,03
10000000070,1982-07-01,1961,1,2,15,03
10000000071,1978-04-10,1952,0,1,13,02
10000000072,1977-06-18,1953,0, ,14,  
10000000073,1979-08-19,1953,1,3,02,01
10000000074,1966-08-01,1957,0,1,02,06
10000000075,1982-02-24,1941,0,3,12,  
10000000076,1972-05-16,1973,0,1,11,02
10000000077,1987-11-12,1945,0,3,  ,  
10000000078,1976-01-30,1958,1,2,12,04
10000000079,1993-01-25,1944,1,2,  ,05
10000000080,1980-07-25,1969,1,3,14,07
10000000081,1978-06-30,1957,1,1,09,02
10000000082,1977-02-24,1961,0, ,05,05
10000000083,1973-09-08,1958,0,1,06,  
10000000084,1977-07-06,1974,1,3,09,03
10000000085,1981-01-30,1977,0,2,06,03
10000000086,1970-05-29,1966,0,1,06,01
10000000087,1974-06-11,1947,1,2,14,04
10000000088,1980-08-06,1963,0,3,15,06
10000000089,1969-02-10,1963,1, ,15,04
10000000090,1972-07-31,1968,0,2,15,01
10000000091,1976-08-30,1958,0,3,14,02
10000000092,1978-07-23,1932,0,2,10,03
10000000093,1981-04-25,1959,0,1,  ,05
10000000094,1980-10-09,1974,1, ,04,  
10000000095,1982-09-04,1972,1,3,02,  
10000000096,1976-06-01,1975,0,1,07,06
10000000097,1971-01-01,1957,1,1,  ,07
10000000098,1978-04-03,1971,0,1,  ,01
10000000099,1974-11-13,1960,0,2,01,04
10000000100,1981-11-26,1946,0,1,12,  
10000000101,1982-08-30,1952,1, ,04,01
10000000102,1996-11-25,1960,1,2,04,01
10000000103,1976-09-13,1949,0, ,04,05
10000000104,1977-09-25,1964,1,2,  ,04
10000000105,1968-09-17,1946,0,1,08,07
10000000106,1982-04-06,1948,0,3,14,02
10000000107,1993-01-22,1946,1,2,12,04
10000000108,1974-07-20,1959,0, ,03,05
10000000109,1964-04-22,1965,0,2,04,06
10000000110,1990-12-24,1953,0,1,03,07
10000000111,1979-01-19,1963,0,3,04,02
10000000112,1984-05-30,1966,0,3,12,02
10000000113,1978-10-24,1955,1, ,08,03
10000000114,1982-05-11,1949,1,1,11,01
10000000115,1980-04-25,1947,1,1,15,03
10000000116,1989-01-06,1954,1,1,  ,01
10000000117,1984-05-10,1967,0,3,01,06
10000000118,1971-12-10,1974,1,3,09,  
10000000119,1975-09-30,1943,1,3,13,02
10000000120,1971-07-11,1957,1,3,05,  
10000000121,1973-11-07,1964,0,3,15,04
10000000122,1984-12-21,1950,1, ,  ,02
10000000123,1976-02-08,1933,0,3,14,03
10000000124,1987-03-05,1941,0,1,03,06
10000000125,1978-01-30,1940,1,1,09,04
10000000126,1983-10-26,1938,0, ,14,07
10000000127,1979-12-16,1968,0,2,09,04
10000000128,1973-01-07,1966,1, ,06,02
10000000129,1983-06-09,1965,0,2,09,05
10000000130,1973-09-16,1969,0, ,04,01
10000000131,1976-10-26,1969,1, ,10,01
10000000132,1974-09-16,1967,0,3,06,06
10000000133,1995-01-03,1962,0,3,  ,05
10000000134,1974-01-20,1968,1,1,06,05
10000000135,1969-07-16,1939,0, ,07,03
10000000136,1968-07-26,1983,1, ,10,05
10000000137,1977-01-15,1971,0,1,03,04
10000000138,1984-09-19,1957,1,2,14,01
10000000139,1971-06-13,1959,0,1,15,04
10000000140,1982-09-13,1958,0,1,15,07
10000000141,1983-07-04,1966,1, ,10,04
10000000142,1979-09-19,1944,0,2,04,03
10000000143,1985-06-01,1946,1,1,06,01
10000000144,1986-03-26,1952,1,3,  ,04
10000000145,1982-07-17,1969,1,3,02,01
10000000146,1975-07-13,1956,1,3,09,07
10000000147,1976-02-20,1976,1,1,11,04
10000000148,1968-10-30,1955,1,1,08,02
10000000149,1981-09-01,1954,0,2,06,05
10000000150,1982-07-14,1954,0,3,05,03
10000000151,1988-11-24,1949,0, ,08,01
10000000152,1975-09-23,1952,0,2,08,06
10000000153,1983-01-09,1953,1,3,07,04
10000000154,1979-01-20,1957,0,2,05,01
10000000155,1989-03-28,1971,1,3,15,02
10000000156,1989-12-20,1957,0,1,02,01
10000000157,1989-02-06,1969,0,2,14,02
10000000158,1984-11-18,1949,0,1,04,07
10000000159,1979-10-06,1950,0,1,14,04
10000000160,1983-02-02,1957,1, ,12,01
10000000161,1971-07-04,1969,1, ,03,07
10000000162,1977-11-30,1953,1,1,03,01
10000000163,1986-03-21,1953,0,2,03,01
10000000164,1969-06-12,1948,1,3,13,06
10000000165,1971-06-09,1959,0,1,06,04
10000000166,1994-09-24,1964,0,2,14,01
10000000167,1975-02-09,1976,1,3,15,05
10000000168,1978-02-05,1959,0,2,04,  
10000000169,1977-07-05,1947,0,3,02,07
10000000170,1976-11-03,1979,0,1,05,02
10000000171,1988-09-11,1971,1,3,13,02
10000000172,1978-12-25,1970,0, ,02,03
10000000173,1976-01-28,1962,0,2,08,03
10000000174,1982-01-30,1954,1,2,02,05
10000000175,1970-01-31,1952,1,1,15,01
10000000176,1967-06-15,1953,0,1,04,04
10000000177,1985-08-22,1975,0,2,05,01
10000000178,1983-07-23,1964,1,3,14,05
10000000179,1982-09-14,1950,1,1,13,01
10000000180,1995-10-15,1965,0, ,10,04
10000000181,1981-03-22,1945,1,1,15,01
10000000182,1974-07-27,1970,1,3,08,04
10000000183,1976-03-01,1965,1,3,08,07
10000000184,1984-01-11,1960,0,1,  ,05
10000000185,1979-07-30,1971,0,1,  ,05
10000000186,1976-01-27,1942,0,2,07,06
10000000187,1981-07-01,1955,0,2,07,02
10000000188,1972-12-17,1972,1,3,01,04
10000000189,1973-05-18,1951,1,1,11,02
10000000190,1973-12-14,1961,0,3,09,03
10000000191,1981-08-09,1968,1,1,03,03
10000000192,1978-02-10,1963,1,1,09,07
10000000193,1975-04-02,1977,1,1,02,02
10000000194,1993-02-12,1977,0,2,08,04
10000000195,1983-12-04,1953,0,2,04,02
10000000196,1978-03-24,1974,1,3,15,04
10000000197,1992-08-05,1943,1,1,03,04
10000000198,1981-07-06,1966,0,1,05,03
10000000199,1971-04-13,1979,0, ,08,  
10000000200,1985-06-07,1944,0,3,11,07
10000000201,1984-12-30,1952,0,1,11,04
10000000202,1986-07-22,1961,0, ,02,04
10000000203,1978-04-07,1951,1,3,13,02
10000000204,1983-01-01,1978,1,3,02,07
10000000205,1962-12-18,1961,1, ,13,06
10000000206,1976-11-01,1958,0,1,14,01
10000000207,1971-06-17,1940,1,2,04,02
10000000208,1982-12-30,1953,1,1,10,01
10000000209,1986-09-17,1968,1,2,10,04
10000000210,1987-07-24,1979,1, ,06,04
10000000211,1988-02-18,1956,1,3,02,02
10000000212,1962-11-21,1952,1,3,03,07
10000000213,1988-06-29,1970,1,3,15,  
10000000214,1989-03-19,1961,0,1,06,  
10000000215,1986-11-26,1974,0,1,03,03
10000000216,1973-02-01,1960,1,2,04,02
10000000217,1976-05-30,1977,1,2,05,03
10000000218,1965-09-30,1976,1,3,06,06
10000000219,1978-11-08,1965,0,1,08,06
10000000220,1980-08-27,1961,1,3,02,07
10000000221,1975-06-27,1969,1,1,08,04
10000000222,1973-05-18,1952,1, ,09,01
10000000223,1972-09-06,1971,0,1,09,03
10000000224,1981-09-15,1963,1,3,10,04
